epoch,loss,precision,val_loss,val_precision
0,0.6185205578804016,0.7967535257339478,0.5749011039733887,0.7950135469436646
1,0.5775997042655945,0.8075875043869019,0.5629001259803772,0.7977970838546753
2,0.5614166259765625,0.8177913427352905,0.5549720525741577,0.8019731640815735
3,0.556115448474884,0.825799286365509,0.5560301542282104,0.8052771687507629
4,0.5479838848114014,0.8297964930534363,0.5357595682144165,0.8119631409645081
5,0.549288809299469,0.8309189081192017,0.5433709025382996,0.8084472417831421
6,0.5432615280151367,0.8335939645767212,0.5260674953460693,0.8176409006118774
7,0.5433492064476013,0.8352811336517334,0.5156341791152954,0.8324545621871948
8,0.5433408617973328,0.8346937298774719,0.5130730271339417,0.8286290168762207
9,0.541165828704834,0.8361729383468628,0.5288284420967102,0.823405385017395
